time,station_id,sbe_salinity_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-05 05:00:00+00:00,Mace Head,33.7123,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 05:30:00+00:00,Mace Head,33.7238,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 06:00:00+00:00,Mace Head,33.733000000000004,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 06:30:00+00:00,Mace Head,33.7345,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 07:00:00+00:00,Mace Head,33.733000000000004,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 07:30:00+00:00,Mace Head,33.7327,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 08:00:00+00:00,Mace Head,33.5861,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 08:30:00+00:00,Mace Head,33.5441,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 09:00:00+00:00,Mace Head,33.5575,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 09:30:00+00:00,Mace Head,33.7377,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 10:00:00+00:00,Mace Head,33.7414,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 10:30:00+00:00,Mace Head,33.703,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 11:00:00+00:00,Mace Head,33.7264,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 11:30:00+00:00,Mace Head,33.7397,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 12:00:00+00:00,Mace Head,33.7392,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 12:30:00+00:00,Mace Head,33.7428,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 13:00:00+00:00,Mace Head,33.6996,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 13:30:00+00:00,Mace Head,33.6692,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 14:00:00+00:00,Mace Head,33.6398,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 14:30:00+00:00,Mace Head,33.6297,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 15:00:00+00:00,Mace Head,33.6331,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 15:30:00+00:00,Mace Head,33.6466,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 16:00:00+00:00,Mace Head,33.6502,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 16:30:00+00:00,Mace Head,33.6508,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 17:00:00+00:00,Mace Head,33.6529,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 17:30:00+00:00,Mace Head,33.6559,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 18:00:00+00:00,Mace Head,33.653,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 18:30:00+00:00,Mace Head,33.6501,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 19:00:00+00:00,Mace Head,33.648,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 19:30:00+00:00,Mace Head,33.6536,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 20:00:00+00:00,Mace Head,33.6655,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 20:30:00+00:00,Mace Head,33.6742,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 21:00:00+00:00,Mace Head,33.6785,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 21:30:00+00:00,Mace Head,33.692,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 22:00:00+00:00,Mace Head,33.6834,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 22:30:00+00:00,Mace Head,33.6875,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 23:00:00+00:00,Mace Head,33.6943,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-05 23:30:00+00:00,Mace Head,33.7094,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 00:00:00+00:00,Mace Head,33.7011,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 00:30:00+00:00,Mace Head,33.7046,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 01:00:00+00:00,Mace Head,33.7125,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 01:30:00+00:00,Mace Head,33.7366,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 02:00:00+00:00,Mace Head,33.7789,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 02:30:00+00:00,Mace Head,33.8248,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 03:00:00+00:00,Mace Head,33.9125,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 03:30:00+00:00,Mace Head,33.9286,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 04:00:00+00:00,Mace Head,33.9372,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 04:30:00+00:00,Mace Head,33.9349,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 05:00:00+00:00,Mace Head,33.935,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 05:30:00+00:00,Mace Head,33.917,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-06 06:00:00+00:00,Mace Head,33.9147,1.0,1.0,1.0,1.0,1.0,1,1.0
